WikidataID,itemLabel,sitelinks
Q3105215,Ron DeSantis,31.0
Q90626534,Kacy Crawford,0.0
Q16730147,Jake Sullivan,22.0
Q21061985,Elizabeth Sherwood-Randall,3.0
Q618727,Thomas E. Donilon,16.0
Q3702047,Denis McDonough,29.0
Q7183630,Philip Gordon,4.0
Q4886347,Ben Rhodes,13.0
Q28445568,Tommy Vietor,4.0
Q3176689,Jeffrey D. Feltman,7.0
Q23050162,Alice Wells,3.0
Q6759873,Margaret Scobey,3.0
Q7365042,Ronald L. Schlicher,2.0
Q433742,Anne W. Patterson,11.0
Q16886217,Matthew H. Tueller,5.0
Q7680777,Tamara Cofman Wittes,2.0
Q104784118,Greta Holtz,2.0
Q469222,Huma Abedin,22.0
Q106178516,Yael Lempert,3.0
Q4118531,Gene Cretz,5.0
Q3161915,Janet A. Sanderson,3.0
Q1569513,Marc Grossman,5.0
Q104857238,Uzra Zeya,4.0
Q62016690,Kamala Shirin Lakhdhir,2.0
Q463641,James Steinberg,10.0
Q948920,Patrick J. Kennedy,16.0
Q5092756,Cheryl Mills,3.0
Q21932139,Tina Kaidanow,3.0
Q12061545,Nancy McEldowney,4.0
Q6154267,Janice L. Jacobs,2.0
Q1441708,"Francis J. Ricciardone, Jr.",7.0
Q7351533,Roberta S. Jacobson,5.0
Q4169153,Wendy Sherman,15.0
Q3810992,Judith McHale,6.0
Q1702273,Johnnie Carson,5.0
Q15429937,Rosemary DiCarlo,8.0
Q17318953,Gayle E. Smith,2.0
Q23887956,Erica Barks-Ruggles,2.0
Q1240513,Donald Yamamoto,7.0
Q2898783,Daniel B. Shapiro,6.0
Q7610057,Stephen Mull,5.0
Q7793367,Thomas R. Nides,6.0
Q85795031,Puneet Talwar,2.0
Q7821917,Antony Blinken,58.0
Q261147,Barbara Mikulski,29.0
Q50612,Susan Rice,41.0
Q105061626,Salman Ahmed,2.0
Q4532848,Esther Brimmer,3.0
Q22003782,Bathsheba Nell Crocker,1.0
Q5294424,Donald Gips,2.0
Q6390162,Kenneth H. Merten,3.0
Q6294,Hillary Clinton,175.0
Q6833593,Michael Posner,5.0
Q6830857,Michael H. Corbin,2.0
Q106512571,Steven C. Bondy,3.0
Q6792602,Maura Connelly,2.0
Q510988,Julissa Reynoso Pantaleón,11.0
Q1346811,Philip J. Crowley,6.0
Q3304911,Melanne Verveer,5.0
Q28972111,Mark Toner,2.0
Q368920,George John Mitchell Jr.,30.0
Q5042478,Carlos Pascual,5.0
Q16727805,Piper Anne Wind Campbell,2.0
Q4801814,Arturo Valenzuela,3.0
Q6119424,Jacob Walles,1.0
Q16731786,Joseph Macmanus,2.0
Q6446882,Kurt M. Campbell,10.0
Q348185,James B. Cunningham,8.0
Q76882726,Thomas H. Goldberger,2.0
Q6575375,Daniel Rubinstein,4.0
Q27450682,Lois Quam,1.0
Q1274250,Rajiv Shah,5.0
Q5386597,Eric Goosby,4.0
Q7329655,Richard Verma,5.0
Q1677579,Jack Lew,28.0
Q4974422,Brooke D. Anderson,3.0
Q155649,Richard Holbrooke,52.0
Q7154188,Paul W. Jones,4.0
Q7184879,Philippe Reines,3.0
Q1287886,Strobe Talbott,15.0
Q459624,Ellen Tauscher,12.0
Q6437240,Kris M. Balderston,1.0
Q7345617,Robert Hormats,4.0
Q465477,Anne-Marie Slaughter,11.0
Q19864563,Derek Chollet,2.0
Q1290476,John Podesta,23.0
Q244631,Leon Panetta,40.0
Q71371916,W. Patrick Murphy,3.0
Q3023757,Derek Mitchell,5.0
Q105047098,Maher Bitar,3.0
Q50436814,Samantha Vinograd,2.0
Q22316,John Kerry,105.0
Q3483318,Sidney Blumenthal,6.0
Q298443,Rahm Emanuel,40.0
Q76,Barack Obama,314.0
Q1124,Bill Clinton,200.0
Q18761827,Joseph Y. Yun,8.0
Q20645208,Kin W. Moy,4.0
Q28591,David Petraeus,48.0
Q4496,Mitt Romney,102.0
Q907913,Harold Hongju Koh,8.0
Q1254,Kofi Annan,161.0
Q1188501,Victoria Nuland,32.0
Q3657872,Capricia Marshall,5.0
Q6830434,Michael Froman,10.0
Q105677048,David Turk,2.0
Q437599,Todd Stern,7.0
Q16204473,Daniel Baer,4.0
Q105306790,Tim Lenderking,3.0
Q66107,Henry Kissinger,117.0
Q19564219,Bernadette Meehan,1.0
Q1805535,Lanny Davis,5.0
