WikidataID,itemLabel,en_description,sitelinks
Q16554,Denver,"capital city of the state of Colorado, United States; consolidated city and county",166
Q16997846,Mimecast,Jersey-domiciled information technology company,3
Q44989,Tulsa,"city in Oklahoma, United States and county seat of Tulsa County",99
Q30268687,National Association of Community Health Centers,"other organization in Bethesda, United States",0
Q1156,Mumbai,"capital city and district in Maharashtra, India",211
Q1361,Hyderabad,"city in Hyderabad district, Telangana, India",125
Q23768,Las Vegas,"city in and county seat of Clark County, Nevada, United States",170
Q17039493,Leprino Foods,,1
Q199797,Tacoma,"county seat of Pierce County, Washington, United States",86
Q279890,Germantown,"neighborhood in Philadelphia, Pennsylvania, United States",15
Q1036056,Cargill,American-based international food conglomerate,31
Q7020906,Nexstar Media Group,American media company,1
Q507047,Natchitoches Parish,"parish in Louisiana, United States",43
Q487315,Monterey,"city in California, United States",62
Q1326975,University of Wyoming,"public university in Laramie, Wyoming",24
Q159288,Santa Barbara,"city in California, United States",86
Q1916118,Medi-Cal,California social health care program for families and individuals with limited resources,2
Q43301,Fresno,"county seat of Fresno County, California, United States",107
Q185257,Mormon Lake,"lake in Coconino County, Arizona, United States of America",8
Q14956815,Novant Health,"nonprofit health system in North Carolina, United States",1
Q574192,Greenville,"county seat of Greenville County, South Carolina, United States",51
Q156376,Vimeo,business providing a video hosting platform,45
Q988279,East Wenatchee,"city in Douglas County, Washington, United States",37
Q624686,"California State University, Monterey Bay",university,5
Q49256,Bakersfield,"county seat of Kern County, California, United States",88
Q745120,St. Joseph,"county seat of Buchanan County, Missouri, United States",51
Q28037202,Brenda Eskenazi,researcher,0
Q60161886,Mark T Scimone,researcher ORCID ID = 0000-0003-0123-3765,0
Q30068183,T. Don Hutto,co-founder of [[Corrections Corporation of America]],1
Q461391,Gavin Newsom,American politician and current governor of California,41
Q77312828,Michelle Fink,researcher,0
Q16556,Phoenix,"county seat and capital city in Maricopa County, Arizona, USA, fifth largest city in the United States by population",163
Q184478,University of California,public university system in California,62
Q16635,Guam,island territory of the United States of America,170
Q18575,Tucson,"city in and county seat of Pima County, Arizona, United States",109
Q27809653,presidency of Donald Trump,45th presidential administration and cabinet of the USA (2017-2021),18
Q1183,Puerto Rico,unincorporated territory of the United States,201
Q975,San Antonio,"seventh most populous city in the United States, and the second most populous city in Texas",140
Q16565,Charlotte,"city in and county seat of Mecklenburg County, North Carolina, United States",118
Q105063174,Cradlepoint,American manufacturer of networking equipment,1
Q487999,Gainesville,"county seat of Alachua County, Florida, United States",66
Q12439,Detroit,"city in and county seat of Wayne County, Michigan, United States",161
Q87767345,White House Coronavirus Task Force,United States Department of State task force to mitigate COVID-19,13
Q285599,Albany,"county seat of Dougherty County, Georgia, United States",56
Q11231,United States Department of Homeland Security,cabinet department of the United States federal government,43
