WikidataID,itemLabel,sitelinks
Q386496,Kraljevina Crna Gora,49
Q386496,Montenegrin Kingdom,49
Q386496,Principality of Montenegro,49
Q248572,Maguindanao Sultanate,19
Q253094,Royal Hungary (1526-1699),29
Q265824,Greece,27
Q265824,Hellenic Republic,27
Q266923,Mysore,48
Q266923,Mysore State,48
Q266923,Princely State of Mysore,48
Q266923,State of Mysore,48
Q267584,North Yemen,46
Q881,VN,333
Q881,VNM,333
Q881,Socialist Republic of Vietnam,333
Q881,SRV,333
Q881,VIE,333
Q881,Viet Nam,333
Q881,Việt Nam,333
Q881,🇻🇳,333
Q467864,Albanian People's Republic,45
Q467864,Communist Albania,45
Q467864,Democratic Government of Albania,45
Q467864,Hoxha's Albania,45
Q467864,People's Republic of Albania,45
Q467864,PR Albania,45
Q467864,PSR Albania,45
Q467864,Republika Popullore Socialiste e Shqipërisë,45
Q467864,Socialist Albania,45
Q468814,Kingdom of Dahomey,50
Q884,Republic of Korea,321
Q884,KOR,321
Q884,ROK,321
Q884,kr,321
Q884,🇰🇷,321
Q884,Hanguk,321
Q884,Korea Republic,321
Q884,Rep. Korea,321
Q884,S. Korea,321
Q963,BOT,275
Q963,🇧🇼,275
Q963,bw,275
Q963,Lefatshe la Botswana,275
Q963,Republic of Botswana,275
Q965,bf,270
Q965,🇧🇫,270
Q431731,Republic of Tanganyika,65
Q444912,Old Romanian Kingdom,13
Q444912,Vechiul Regat,13
Q457167,West Ukraine,42
Q457167,Western Ukrainian National Republic,42
Q457167,Zakhidno-Ukrainska Narodnia Respublika,42
Q457167,Zakhidnoukrayins’ka Narodna Respublyka,42
Q457167,ZUNR,42
Q466433,Karkoṭa Empire,12
Q467627,Sadozai Kingdom,49
Q467627,the last Afghan empire,49
Q38,ITA,382
Q38,IT,382
Q38,🇮🇹,382
Q38,Italia,382
Q38,Italian Republic,382
Q55,Netherlands (after 1945),345
Q977,Jībūtī,266
Q977,Republic of Djibouti,266
Q983,GEQ,249
Q983,gq,249
Q983,🇬🇶,249
Q983,Republic of Equatorial Guinea,249
Q986,IRI,272
Q986,ERI,272
Q986,🇪🇷,272
Q986,er,272
Q986,Ertrā,272
Q986,Iritriyā,272
Q986,State of Eritrea,272
Q501303,Free City of Cracow,39
Q501303,Free City of Krakow,39
Q507346,Bate Empire,5
Q518101,First Austrian Republic,39
Q518101,Republic of Austria,39
Q518101,Republik Österreich,39
Q523380,Litwa Środkowa,31
Q523435,United Republic of Indonesia,22
Q529605,Hesse-Kassel,26
Q529605,Hesse-Cassel,26
Q971,CGO,265
Q971,cg,265
Q971,🇨🇬,265
Q971,Congo (Brazzaville),265
Q971,Congo Republic,265
Q971,Congo-Brazzaville,265
Q971,Rep. Congo,265
Q971,Republic of Congo,265
Q971,Republique du Congo,265
Q971,République du Congo,265
Q974,Congo,289
Q974,cd,289
Q974,Zaire,289
Q974,COD,289
Q974,DRC,289
Q974,🇨🇩,289
Q958,ss,249
Q958,SSD,249
Q958,🇸🇸,249
Q958,Republic of South Sudan,249
Q958,Southern Sudan,249
Q962,BEN,276
Q962,Republic of Benin,276
Q962,Dahomey,276
Q962,🇧🇯,276
Q962,bj,276
Q600524,Al Khilafa al Bilad As-Sudan,36
Q600524,Al Khilafa Al Bilad As-Sudan,36
Q600524,Daular Khalifar Sakkawato,36
Q600524,Fulani Empire,36
Q600524,Sokoto,36
Q616992,Kingdom of Montenegro,27
Q618399,Democratic Republic of the Congo,20
Q618399,Congo-Leopoldville,20
Q618399,Congo-Léopoldville,20
Q954,Rhodesia,287
Q954,ZIM,287
Q954,Southern Rhodesia,287
Q954,Republic of Zimbabwe,287
Q954,Zimbabwe Rhodesia,287
Q954,zw,287
Q954,🇿🇼,287
Q654766,Estado Nor-Peruano,12
Q654766,Republica Nor-Peruana,12
Q654766,República Nor-Peruana,12
Q38610,Dominion de Terre-Neuve,32
Q917,🇧🇹,278
Q917,Kingdom of Bhutan,278
Q921,BRU,267
Q921,BRN,267
Q921,bn,267
Q921,🇧🇳,267
Q921,Brunei Darussalam,267
Q921,"Nation of Brunei, the Abode of Peace",267
Q921,Negara Brunei Darussalam,267
Q967,bi,272
Q967,🇧🇮,272
Q967,BDI,272
Q967,Gouvernement du Burundi,272
Q967,Republic of Burundi,272
Q967,Republika y'Uburundi,272
Q970,COM,254
Q970,km,254
Q970,🇰🇲,254
Q970,al-Ittiḥād al-Qumurī,254
Q970,Juzur al-Qamar,254
Q970,Juzur al-Qumur,254
Q970,Massiwa ya komori,254
