"","item","itemLabel","bioid"
"90","http://www.wikidata.org/entity/Q71863","John S. Tanner","T000038"
"91","http://www.wikidata.org/entity/Q72498","Rick Lazio","L000155"
"92","http://www.wikidata.org/entity/Q74337","Thomas Monteagle Bayly","B000260"
"93","http://www.wikidata.org/entity/Q74349","Abel Huntington","H000994"
"94","http://www.wikidata.org/entity/Q74355","Christopher H. Clark","C000424"
"95","http://www.wikidata.org/entity/Q74517","Thomas B. Jackson","J000027"
"96","http://www.wikidata.org/entity/Q74554","Cadwallader D. Colden","C000604"
"97","http://www.wikidata.org/entity/Q74557","Silas Wood","W000703"
"98","http://www.wikidata.org/entity/Q74559","James Lent","L000242"
"99","http://www.wikidata.org/entity/Q74653","Andrew S. Fulton","F000419"
"100","http://www.wikidata.org/entity/Q74968","William A. Burwell","B001160"
"101","http://www.wikidata.org/entity/Q74972","James Guyon","G000539"
"102","http://www.wikidata.org/entity/Q74984","Severn E. Parker","P000072"
"103","http://www.wikidata.org/entity/Q75174","Charles Francis Adams, Sr.","A000032"
"104","http://www.wikidata.org/entity/Q82219","William Denning","D000240"
"105","http://www.wikidata.org/entity/Q82221","Stuyvesant Wainwright","W000024"
"106","http://www.wikidata.org/entity/Q82239","Elbert S. Martin","M000179"
"107","http://www.wikidata.org/entity/Q82423","George J. Hochbrueckner","H000670"
"108","http://www.wikidata.org/entity/Q82431","Francis Walker","W000051"
"109","http://www.wikidata.org/entity/Q82436","Felix Grucci","G000547"
"110","http://www.wikidata.org/entity/Q82439","William McComas","M000352"
"111","http://www.wikidata.org/entity/Q82449","William Paulding, Jr.","P000146"
"112","http://www.wikidata.org/entity/Q82451","Peter Sharpe","S000297"
"113","http://www.wikidata.org/entity/Q82462","Samuel Jordan Cabell","C000005"
"114","http://www.wikidata.org/entity/Q82465","Selah Tuthill","T000438"
"115","http://www.wikidata.org/entity/Q82476","William Carney","C000165"
"116","http://www.wikidata.org/entity/Q82478","George Clinton","C000526"
"117","http://www.wikidata.org/entity/Q82481","William S. Morgan","M000960"
"118","http://www.wikidata.org/entity/Q82484","James G. Clinton","C000528"
"119","http://www.wikidata.org/entity/Q84001","Edgar A. Sharp","S000293"
"120","http://www.wikidata.org/entity/Q85645","Victor Louis Berger","B000407"
"121","http://www.wikidata.org/entity/Q93375","Roy Walter Riehlman","R000250"
"122","http://www.wikidata.org/entity/Q93384","John J. Morgan","M000953"
"123","http://www.wikidata.org/entity/Q93387","Charles A. Floyd","F000219"
"124","http://www.wikidata.org/entity/Q93393","Robert A. Thompson","T000215"
"125","http://www.wikidata.org/entity/Q93396","John Kerr","K000136"
"126","http://www.wikidata.org/entity/Q93398","Cuthbert Powell","P000479"
"127","http://www.wikidata.org/entity/Q93791","James M. H. Beale","B000266"
"128","http://www.wikidata.org/entity/Q93794","Churchill C. Cambreleng","C000061"
"129","http://www.wikidata.org/entity/Q93811","William J. Lewis","L000297"
"130","http://www.wikidata.org/entity/Q93827","George W. Summers","S001066"
"131","http://www.wikidata.org/entity/Q94025","Sidney Perham","P000226"
"132","http://www.wikidata.org/entity/Q99070","Anthony Eickhoff","E000095"
"133","http://www.wikidata.org/entity/Q106231","Daniel Webster","W000238"
"134","http://www.wikidata.org/entity/Q109463","Richard Mentor Johnson","J000170"
"135","http://www.wikidata.org/entity/Q110070","Peter V. Deuster","D000274"
"136","http://www.wikidata.org/entity/Q111455","Richard W. Barton","B000214"
"137","http://www.wikidata.org/entity/Q111568","Frederic Storm","S000974"
"138","http://www.wikidata.org/entity/Q111570","Alexander Newman","N000070"
"139","http://www.wikidata.org/entity/Q111581","James Maurice","M000261"
"140","http://www.wikidata.org/entity/Q111583","James W. Covert","C000814"
"141","http://www.wikidata.org/entity/Q111588","Robert L. Bacon","B000019"
"142","http://www.wikidata.org/entity/Q111591","John W. Lawrence","L000136"
"143","http://www.wikidata.org/entity/Q111605","Frederick C. Hicks","H000564"
"144","http://www.wikidata.org/entity/Q111608","Henry Augustus Reeves","R000138"
"145","http://www.wikidata.org/entity/Q111610","John A. Searing","S000209"
"146","http://www.wikidata.org/entity/Q111615","Thomas Haymond","H000395"
"147","http://www.wikidata.org/entity/Q111702","John S. Barbour","B000128"
"148","http://www.wikidata.org/entity/Q111959","Lathrop Brown","B000937"
"149","http://www.wikidata.org/entity/Q111965","Frederick William Lord","L000440"
"150","http://www.wikidata.org/entity/Q111969","Lewis Steenrod","S000843"
"151","http://www.wikidata.org/entity/Q112534","Ed Zschau","Z000014"
"152","http://www.wikidata.org/entity/Q112622","Mary Teresa Norton","N000153"
"153","http://www.wikidata.org/entity/Q113446","W. Pat Jennings","J000098"
"154","http://www.wikidata.org/entity/Q113450","Homer Hoch","H000669"
"155","http://www.wikidata.org/entity/Q113671","Luman Hamlin Weller","W000275"
"156","http://www.wikidata.org/entity/Q113955","Virginia D. Smith","S000622"
"157","http://www.wikidata.org/entity/Q116257","Albert E. Austin","A000339"
"158","http://www.wikidata.org/entity/Q116428","William B. Campbell","C000104"
"159","http://www.wikidata.org/entity/Q116462","Helen Gahagan Douglas","D000454"
"160","http://www.wikidata.org/entity/Q116897","Owen A. Wells","W000286"
"161","http://www.wikidata.org/entity/Q117687","Oren Harris","H000249"
"162","http://www.wikidata.org/entity/Q118414","Seaton Grantland","G000385"
"163","http://www.wikidata.org/entity/Q118447","Harold M. Ryan","R000556"
"164","http://www.wikidata.org/entity/Q119323","Joshua Reed Giddings","G000167"
"165","http://www.wikidata.org/entity/Q119647","William O. Barnard","B000155"
"166","http://www.wikidata.org/entity/Q120055","William Prince","P000540"
"167","http://www.wikidata.org/entity/Q120455","Joe Knollenberg","K000288"
