,WikidataID,itemLabel,sitelinks
170,Q1300,German Riesco,24
171,Q1300,German Riesco,24
172,Q1300,German Riesco,24
173,Q1300,German Riesco,24
174,Q1300,German Riesco Errazuriz,24
175,Q1300,German Riesco Errazuriz,24
176,Q1300,German Riesco Errazuriz,24
177,Q1300,German Riesco Errazuriz,24
178,Q1300,Germán Riesco Errázuriz,24
179,Q1300,Germán Riesco Errázuriz,24
180,Q1300,Germán Riesco Errázuriz,24
181,Q1300,Germán Riesco Errázuriz,24
182,Q1316,Hussein,160
183,Q1316,Saddam,160
184,Q9640,L. B. Johnson,168
185,Q9640,L. B. Johnson,168
186,Q9640,L. B. Johnson,168
187,Q9640,L. B. Johnson,168
188,Q9640,Lyndon Baines Johnson,168
189,Q9640,Lyndon Baines Johnson,168
190,Q9640,Lyndon Baines Johnson,168
191,Q9640,Lyndon Baines Johnson,168
192,Q9640,Lyndon Johnson,168
193,Q9640,Lyndon Johnson,168
194,Q9640,Lyndon Johnson,168
195,Q9640,Lyndon Johnson,168
196,Q9640,President Johnson,168
197,Q9640,President Johnson,168
198,Q9640,President Johnson,168
199,Q9640,President Johnson,168
200,Q5816,Mao Jun-chih,210
201,Q5816,Máo Rùnzhī,210
202,Q5816,Mao Zédong,210
203,Q5816,Mau Zerdong,210
204,Q5816,Mouh Jaahk-dung,210
205,Q6279,Biden,248
206,Q6279,JRB,248
207,Q6279,Joe Biden Jr.,248
208,Q6279,Joe R. Biden,248
209,Q6279,Joe R. Biden Jr.,248
210,Q6279,Joseph Biden,248
211,Q6279,Joseph R. Biden,248
212,Q6279,Joseph R. Biden Jr.,248
213,Q6279,"Joseph R. Biden, Jr.",248
214,Q6279,Joseph Robinette Biden,248
215,Q6279,Joseph Robinette Biden Jr.,248
216,Q6279,POTUS 46,248
217,Q6279,President Biden,248
218,Q6279,President Joe Biden,248
219,Q6279,President Joseph Biden,248
220,Q6279,President Joseph Biden Jr.,248
221,Q6279,President Joseph R. Biden,248
222,Q6279,President Joseph R. Biden Jr.,248
223,Q6279,President Joseph Robinette Biden,248
224,Q6279,President Joseph Robinette Biden Jr.,248
225,Q1463,FM,137
226,Q1463,Apo Lakay,137
227,Q1463,Ferdinand E. E. Marcos,137
228,Q1463,Ferdinand Edralin Marcos,137
229,Q7711,Jean Marc Ayrault,69
230,Q7747,Putin,295
231,Q7747,Vladimir Vladimirovich Putin,295
232,Q579,Carlos Ibàñez del Campo,31
233,Q579,Carlos Ibàñez del Campo,31
234,Q579,Carlos Ibàñez del Campo,31
235,Q579,Carlos Ibàñez del Campo,31
236,Q815,Gabriel Gonzales Videla,33
237,Q815,Gabriel Gonzalez Videla,33
238,Q815,Gabriel González Videla,33
239,Q845,Pedro Abelino Aguirre Cerda,31
240,Q848,Arturo Alessandri Palma,36
241,Q848,Arturo Fortunato Alessandri,36
242,Q848,Arturo Fortunato Alessandri Palma,36
243,Q855,Stalin,256
244,Q855,Koba,256
245,Q855,Uncle Joe,256
246,Q9094,"José Alberto ""Pepe"" Mujica Cordano",95
247,Q9094,Jose Mujica,95
248,Q9094,Pepe Mujica,95
249,Q9161,Walter,120
250,Q9161,Tito,120
251,Q9161,Zagorac,120
252,Q9161,Josip Broz,120
253,Q9161,Rudi,120
254,Q9161,Gligorijević,120
255,Q9161,Josip Brotz Tito,120
256,Q9696,John Kennedy,231
257,Q9696,John Kennedy,231
258,Q9696,John Kennedy,231
259,Q9696,John Kennedy,231
260,Q9696,Kennedy,231
261,Q9696,Kennedy,231
262,Q9696,Kennedy,231
263,Q9696,Kennedy,231
264,Q9696,Jack Kennedy,231
265,Q9696,Jack Kennedy,231
266,Q9696,Jack Kennedy,231
267,Q9696,Jack Kennedy,231
268,Q9696,JFK,231
269,Q9696,JFK,231
270,Q9696,JFK,231
271,Q9696,JFK,231
272,Q9696,John Fitzgerald Kennedy,231
273,Q9696,John Fitzgerald Kennedy,231
274,Q9696,John Fitzgerald Kennedy,231
275,Q9696,John Fitzgerald Kennedy,231
276,Q9696,J. F. Kennedy,231
277,Q9696,J. F. Kennedy,231
278,Q9696,J. F. Kennedy,231
279,Q9696,J. F. Kennedy,231
280,Q9696,JF Kennedy,231
281,Q9696,JF Kennedy,231
282,Q9696,JF Kennedy,231
283,Q9696,JF Kennedy,231
284,Q9696,"John Fitzgerald ""Jack"" Kennedy",231
285,Q9696,"John Fitzgerald ""Jack"" Kennedy",231
286,Q9696,"John Fitzgerald ""Jack"" Kennedy",231
287,Q9696,"John Fitzgerald ""Jack"" Kennedy",231
288,Q9696,President Kennedy,231
289,Q9696,President Kennedy,231
290,Q9696,President Kennedy,231
291,Q9696,President Kennedy,231
292,Q1464,Benigno Simeon Aquino III,74
293,Q1464,Benigno Simeon Cojuangco Aquino III,74
294,Q1464,Noynoy Aquino,74
295,Q1464,PNoy,74
296,Q1464,Benigno S. Aquino III,74
297,Q1480,"Corazon ""Cory"" Aquino",103
298,Q1480,Maria Corazon Sumulong Cojuangco,103
299,Q1480,Maria Corazon Sumulong Cojuangco Aquino,103
300,Q1149,Gandhi Indira,157
301,Q1149,Gandhi Indira,157
302,Q1149,Gandhi Indira,157
303,Q1149,Gandhi Indira,157
304,Q1149,Indira Ghandi,157
305,Q1149,Indira Ghandi,157
306,Q1149,Indira Ghandi,157
307,Q1149,Indira Ghandi,157
308,Q1149,Indira Nehru,157
309,Q1149,Indira Nehru,157
310,Q1149,Indira Nehru,157
311,Q1149,Indira Nehru,157
312,Q1149,Indira Priyadarshini Gandhi,157
313,Q1149,Indira Priyadarshini Gandhi,157
314,Q1149,Indira Priyadarshini Gandhi,157
315,Q1149,Indira Priyadarshini Gandhi,157
316,Q1149,Indira Priyadarshini Nehru,157
317,Q1149,Indira Priyadarshini Nehru,157
318,Q1149,Indira Priyadarshini Nehru,157
319,Q1149,Indira Priyadarshini Nehru,157
320,Q1149,Nehru Indira,157
321,Q1149,Nehru Indira,157
322,Q1149,Nehru Indira,157
323,Q1149,Nehru Indira,157
324,Q2492,Konrad Hermann Joseph Adenauer,137
325,Q2492,Konrad Hermann Joseph Adenauer,137
326,Q2492,Konrad Hermann Joseph Adenauer,137
327,Q2492,Konrad Hermann Joseph Adenauer,137
328,Q855,General Secretary Joseph Stalin,256
329,Q855,General Secretary Stalin,256
330,Q855,Ioseb Besarionis dze Dzhugashvili,256
331,Q855,Ioseb Dzhugashvili,256
332,Q855,Ioseb Jugashvili,256
333,Q855,Iosif Vissarionovich Dzhugashvili,256
