"","item","itemLabel","bioid"
"88","http://www.wikidata.org/entity/Q304550","Simeon D. Fess","F000096"
"89","http://www.wikidata.org/entity/Q310843","Thomas A. Hendricks","H000493"
"90","http://www.wikidata.org/entity/Q310849","George M. Dallas","D000011"
"91","http://www.wikidata.org/entity/Q311141","John Ashcroft","A000356"
"92","http://www.wikidata.org/entity/Q312845","Daniel Inouye","I000025"
"93","http://www.wikidata.org/entity/Q313302","Henry Wilson","W000585"
"94","http://www.wikidata.org/entity/Q314384","Huey Long","L000418"
"95","http://www.wikidata.org/entity/Q314459","Harry Reid","R000146"
"96","http://www.wikidata.org/entity/Q317618","Sam Brownback","B000953"
"97","http://www.wikidata.org/entity/Q319079","Bob Dole","D000401"
"98","http://www.wikidata.org/entity/Q319084","Al Franken","F000457"
"99","http://www.wikidata.org/entity/Q319111","Chris Dodd","D000388"
"100","http://www.wikidata.org/entity/Q319129","Barry Goldwater","G000267"
"101","http://www.wikidata.org/entity/Q319630","Henry Clay","C000482"
"102","http://www.wikidata.org/entity/Q319867","Edmund Muskie","M001121"
"103","http://www.wikidata.org/entity/Q321179","Abijah Gilbert","G000171"
"104","http://www.wikidata.org/entity/Q322539","Abner Lacock","L000011"
"105","http://www.wikidata.org/entity/Q322911","Sam Ervin","E000211"
"106","http://www.wikidata.org/entity/Q323417","Abraham A. Ribicoff","R000191"
"107","http://www.wikidata.org/entity/Q323511","Harris Wofford","W000665"
"108","http://www.wikidata.org/entity/Q324546","Marco Rubio","R000595"
"109","http://www.wikidata.org/entity/Q324719","Strom Thurmond","T000254"
"110","http://www.wikidata.org/entity/Q324742","Prescott Bush","B001167"
"111","http://www.wikidata.org/entity/Q324891","Frederic M. Sackett","S000006"
"112","http://www.wikidata.org/entity/Q324970","John Sherman Cooper","C000758"
"113","http://www.wikidata.org/entity/Q325914","John Glenn Beall Jr.","B000272"
"114","http://www.wikidata.org/entity/Q326316","Robert Torricelli","T000317"
"115","http://www.wikidata.org/entity/Q327388","Michael Hahn","H000019"
"116","http://www.wikidata.org/entity/Q327912","Karl Earl Mundt","M001078"
"117","http://www.wikidata.org/entity/Q328197","Thomas Sumter","S001073"
"118","http://www.wikidata.org/entity/Q328445","Israel Smith","S000557"
"119","http://www.wikidata.org/entity/Q328669","Cushman Kellogg Davis","D000095"
"120","http://www.wikidata.org/entity/Q329366","William Crosson Feazel","F000057"
"121","http://www.wikidata.org/entity/Q329740","Abraham B. Venable","V000083"
"122","http://www.wikidata.org/entity/Q329766","Abraham Baldwin","B000084"
"123","http://www.wikidata.org/entity/Q330165","Howard Metzenbaum","M000678"
"124","http://www.wikidata.org/entity/Q330287","James Allen","A000127"
"125","http://www.wikidata.org/entity/Q330293","Willard Warner","W000159"
"126","http://www.wikidata.org/entity/Q331073","Abram Williams","W000486"
"127","http://www.wikidata.org/entity/Q331107","Stevens Thomson Mason","M000226"
"128","http://www.wikidata.org/entity/Q331182","William L. Dayton","D000166"
"129","http://www.wikidata.org/entity/Q331209","Theodore Sedgwick","S000222"
"130","http://www.wikidata.org/entity/Q331244","Claude Pepper","P000218"
"131","http://www.wikidata.org/entity/Q331278","Richard M. Burr","B001135"
"132","http://www.wikidata.org/entity/Q331714","Absalom Willis Robertson","R000317"
"133","http://www.wikidata.org/entity/Q331719","Bob Corker","C001071"
"134","http://www.wikidata.org/entity/Q331742","George McGovern","M000452"
"135","http://www.wikidata.org/entity/Q336770","Gale W. McGee","M000445"
"136","http://www.wikidata.org/entity/Q339046","Mark Kirk","K000360"
"137","http://www.wikidata.org/entity/Q340200","William A. Trimble","T000377"
"138","http://www.wikidata.org/entity/Q342586","Ken Salazar","S001163"
"139","http://www.wikidata.org/entity/Q343267","Daniel Smith","S000524"
"140","http://www.wikidata.org/entity/Q343849","Edward P. Carville","C000211"
"141","http://www.wikidata.org/entity/Q344538","Thomas Kuchel","K000335"
"142","http://www.wikidata.org/entity/Q344930","Evan Bayh","B001233"
"143","http://www.wikidata.org/entity/Q345564","Howard Cannon","C000120"
"144","http://www.wikidata.org/entity/Q347560","Joseph M. Carey","C000145"
"145","http://www.wikidata.org/entity/Q350548","James P. Kem","K000082"
"146","http://www.wikidata.org/entity/Q351481","Dewey F. Bartlett","B000200"
"147","http://www.wikidata.org/entity/Q351873","J. Lister Hill","H000598"
"148","http://www.wikidata.org/entity/Q352156","Ross Bass","B000223"
"149","http://www.wikidata.org/entity/Q352331","Walter F. George","G000131"
"150","http://www.wikidata.org/entity/Q352422","Mike Gravel","G000388"
"151","http://www.wikidata.org/entity/Q353127","Addison G. Foster","F000298"
